相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
5,-1.9577401774021712,24,新北市,2006,DPP,KMT,1.5749493239090029
5,-1.9577401774021712,24,新竹市,2002,DPP,KMT,7.504319957473449
5,-1.9577401774021712,24,新竹市,2015,KMT,DPP,-0.5572266102621626
5,-1.9577401774021712,24,桃園市,2002,DPP,KMT,1.0947354004755994
5,-1.9577401774021712,24,桃園市,2015,KMT,DPP,1.1734209428251319
5,-1.9577401774021712,24,澎湖縣,2006,KMT,DPP,-22.706643866533582
5,-1.9577401774021712,24,澎湖縣,2019,DPP,KMT,-15.240470875600565
5,-1.9577401774021712,24,臺中市,2002,DPP,KMT,4.21093513793398
5,-1.9577401774021712,24,臺中市,2015,KMT,DPP,-1.8563614672251205
5,-1.9577401774021712,24,臺中市,2019,DPP,KMT,2.3187048687654865
5,-1.9577401774021712,24,雲林縣,2006,KMT,DPP,6.854889849004664
5,-1.9577401774021712,24,雲林縣,2019,DPP,KMT,-0.5306232297186853
5,-1.9577401774021712,24,高雄市,2019,DPP,KMT,2.2501789661706795
